quarter,industry,investment,pm_share_net,pm_share_gross,is_manufacturing,regime,npv,r,discrete,log_investment,treat
2021Q3,"Food, drink and tobacco",1331,0.7010699330673613,0.6485476588572164,True,super_deduction,0.247,0.05,False,7.193685818395112,0.17316427346763824
2021Q4,"Food, drink and tobacco",1332,0.7010699330673613,0.6485476588572164,True,super_deduction,0.247,0.05,False,7.194436851100335,0.17316427346763824
2022Q1,"Food, drink and tobacco",1349,0.7010699330673613,0.6485476588572164,True,super_deduction,0.247,0.05,False,7.207118856207756,0.17316427346763824
2022Q2,"Food, drink and tobacco",1399,0.7010699330673613,0.6485476588572164,True,super_deduction,0.247,0.05,False,7.243512974665482,0.17316427346763824
2022Q3,"Food, drink and tobacco",1353,0.7010699330673613,0.6485476588572164,True,super_deduction,0.247,0.05,False,7.210079628170788,0.17316427346763824
2022Q4,"Food, drink and tobacco",1311,0.7010699330673613,0.6485476588572164,True,super_deduction,0.247,0.05,False,7.1785454837637,0.17316427346763824
2023Q1,"Food, drink and tobacco",1271,0.7010699330673613,0.6485476588572164,True,super_deduction,0.247,0.05,False,7.147559271189454,0.17316427346763824
2023Q2,"Food, drink and tobacco",1154,0.7010699330673613,0.6485476588572164,True,full_expensing,0.25,0.05,False,7.050989447068045,0.17526748326684033
2023Q3,"Food, drink and tobacco",1059,0.7010699330673613,0.6485476588572164,True,full_expensing,0.25,0.05,False,6.9650803456014065,0.17526748326684033
2023Q4,"Food, drink and tobacco",1109,0.7010699330673613,0.6485476588572164,True,full_expensing,0.25,0.05,False,7.011213987350367,0.17526748326684033
2024Q1,"Food, drink and tobacco",919,0.7010699330673613,0.6485476588572164,True,full_expensing,0.25,0.05,False,6.823286122355687,0.17526748326684033
2024Q2,"Food, drink and tobacco",761,0.7010699330673613,0.6485476588572164,True,full_expensing,0.25,0.05,False,6.634633357861686,0.17526748326684033
2024Q3,"Food, drink and tobacco",1060,0.7010699330673613,0.6485476588572164,True,full_expensing,0.25,0.05,False,6.966024187106113,0.17526748326684033
2024Q4,"Food, drink and tobacco",1093,0.7010699330673613,0.6485476588572164,True,full_expensing,0.25,0.05,False,6.996681488176539,0.17526748326684033
2025Q1,"Food, drink and tobacco",1107,0.7010699330673613,0.6485476588572164,True,full_expensing,0.25,0.05,False,7.009408932708637,0.17526748326684033
2025Q2,"Food, drink and tobacco",1167,0.7010699330673613,0.6485476588572164,True,full_expensing,0.25,0.05,False,7.062191632286556,0.17526748326684033
2025Q3,"Food, drink and tobacco",1137,0.7010699330673613,0.6485476588572164,True,full_expensing,0.25,0.05,False,7.036148493750536,0.17526748326684033
2025Q4,"Food, drink and tobacco",1153,0.7010699330673613,0.6485476588572164,True,full_expensing,0.25,0.05,False,7.050122520269059,0.17526748326684033
2026Q1,"Food, drink and tobacco",906,0.7010699330673613,0.6485476588572164,True,full_expensing,0.25,0.05,False,6.80903930604298,0.17526748326684033
2015Q1,Health and social work,1153,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,7.050122520269059,0.017104680228630473
2015Q2,Health and social work,1107,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,7.009408932708637,0.017104680228630473
