sample,exposure,outcome,treat,beta,se,p,ci_lo,ci_hi,n,preregistered
1997- full,gross stock,log level,binary,-1.8279525693909497,1.109896978378899,0.09970957688850746,-4.004507040461224,0.3486019016793245,2339,False
1997- full,gross stock,log level,continuous,-1.555138795020232,2.2698806525086006,0.4933408225823668,-6.006469845789974,2.8961922557495097,2339,False
"2015-, keep 2020",gross stock,log level,binary,-1.1525930025182947,0.6857368740071824,0.09317392646318057,-2.4985635656615583,0.19337756062496902,900,False
"2015-, keep 2020",net stock,log level,binary,-1.1525930025182947,0.6857368740071824,0.09317392646318057,-2.4985635656615583,0.19337756062496902,900,False
"2015-, keep 2020",flow,log level,continuous,-1.0503329770032452,3.1612434274884573,0.7397815260244789,-7.2552502821867115,5.154584328180221,900,False
1997- full,flow,log level,binary,-0.996629673388333,1.1653150434102457,0.3925086630731385,-3.2818612915918646,1.2886019448151984,2339,False
"2015-, drop 2020Q2-Q4",gross stock,log level,binary,-0.9553410162971362,0.7487789039970596,0.2023839225748656,-2.425207366714989,0.5145253341207167,840,False
"2015-, drop 2020Q2-Q4",net stock,log level,binary,-0.9553410162971362,0.7487789039970596,0.2023839225748656,-2.425207366714989,0.5145253341207167,840,False
"2015-, keep 2020",net stock,log level,continuous,-0.900951874276962,1.0128400941408815,0.37397438498905666,-2.888963608163391,1.0870598596094672,900,False
"2015-, drop to 2021Q1",gross stock,log level,binary,-0.8482214849457599,0.7950846756831027,0.2863870873937464,-2.4090477687784784,0.7126047988869584,820,False
"2015-, drop to 2021Q1",net stock,log level,binary,-0.8482214849457599,0.7950846756831027,0.2863870873937464,-2.4090477687784784,0.7126047988869584,820,False
"2015-, drop 2020Q2-Q4",flow,log level,continuous,-0.43819904962172007,3.353593600719325,0.896073688111358,-7.021363132317801,6.144965033074361,840,False
"2015-, keep 2020",gross stock,log level,continuous,-0.4035712566435126,1.0386420650147774,0.6977032079819081,-2.4422273332563327,1.6350848199693075,900,False
"2015-, drop 2020Q2-Q4",net stock,log level,continuous,-0.3976918079217246,1.016820950804149,0.6958208573214593,-2.393729479400747,1.598345863557298,840,True
"2015-, keep 2020",flow,log level,binary,-0.27578565110143116,0.7333010068056376,0.7069470661978963,-1.715115526008185,1.1635442238053226,900,False
"2015-, drop to 2021Q1",flow,log level,continuous,-0.1357332598105158,3.4830465468033864,0.9689247981646272,-6.973282472279946,6.701815952658915,820,False
"2015-, drop 2020Q2-Q4",flow,log level,binary,-0.12160254635477848,0.7804755081990911,0.8762265804002274,-1.6536898964433995,1.4104848037338424,840,False
"2015-, drop to 2021Q1",net stock,log level,continuous,-0.035593331336799545,1.1161050287000491,0.9745676272666368,-2.226612876288054,2.1554262136144544,820,False
"2015-, drop to 2021Q1",flow,log level,binary,-0.03047911230453457,0.8191304131899262,0.9703280602142637,-1.638509449067272,1.577551224458203,820,False
"2015-, drop 2020Q2-Q4",gross stock,log level,continuous,0.12851911337689437,1.0782196535498736,0.9051511078261592,-1.9880453072446271,2.245083533998416,840,False
"2015-, drop to 2021Q1",gross stock,log level,continuous,0.530682988041284,1.1847380289626104,0.6543295404215064,-1.795069616198362,2.85643559228093,820,False
